max_temp,min_temp,rainfall
42,26,0.02
30,19,0
29,15,0
25,11,0
27,19,0.03
32,26,0
38,28,0
48,32,0
52,27,0
39,29,0
34,30,0
35,31,0
40,19,0.01
43,23,0
41,26,0
43,19,0
37,16,0
29,17,0
40,22,0
50,32,0
37,27,0
36,28,0
36,34,0
36,32,0.01
36,23,0
41,29,0.06
39,22,0
54,39,0
53,30,0
34,19,0
36,24,0.01
37,29,0.11
35,13,0
31,22,0.16
32,27,0.62
66,32,0.32
72,54,0
74,60,0
75,49,0
66,42,0
74,43,0
75,33,0
58,27,0
45,30,0
38,31,0
50,30,0
34,16,0
32,20,0
29,25,0.05
32,24,0
36,24,0.06
35,32,0.09
33,29,0.79
34,27,0.05
36,29,0
53,35,0.04
45,33,0.03
62,42,0.03
63,51,0
64,50,0.72
69,48,0.52
66,50,0
80,56,0
68,44,0
71,51,0
70,46,0
56,32,0
52,39,0
51,38,0
56,43,0.02
64,47,0.05
64,48,0
58,49,0.02
67,52,0.03
70,57,0.01
85,59,0
76,60,0.05
83,60,0
77,58,0.05
71,45,0
62,42,0
58,43,0
71,52,0
81,65,0
79,56,0
73,52,0
64,55,0.03
59,44,0.07
60,38,0
50,41,0.14
52,45,0
64,50,0.25
83,61,0.18
78,54,0
74,52,0
82,57,0
71,58,0
74,59,0.43
77,59,0
82,65,0.39
88,72,0
92,76,0.01
90,72,0
89,71,0.03
91,70,0
84,66,0.1
87,68,0.08
83,68,0
81,58,0
84,63,0.03
78,57,0
85,61,0.49
88,68,0
74,63,0.45
84,60,0
79,64,1.27
87,68,0.54
83,69,0.01
79,61,0
78,60,0
79,54,0
74,57,0
73,60,0
82,65,0.15
84,60,0
82,63,0
84,63,0
85,67,0.17
84,64,0
86,68,0.45
88,71,0.24
92,69,0
80,59,0
69,57,0
82,62,0.36
83,65,0
83,68,0
91,68,0.51
90,71,0
84,63,0
80,59,0
79,62,0.24
85,66,0
85,64,0
84,65,0.46
85,66,0
82,71,0.33
88,71,0.08
86,73,0.35
90,71,0
90,69,0
89,74,0
88,73,0
88,70,0.02
82,66,2.37
86,67,0.89
86,65,0
85,59,0
80,58,0.03
76,61,0
84,62,0.33
75,63,0.01
77,63,0.04
86,68,1.37
90,65,0
91,67,0
88,62,0
78,55,0
71,53,0
76,58,0
79,57,0
72,59,0
83,68,0.16
96,74,0
85,62,0
77,60,0.88
81,60,0.32
86,62,0.04
83,63,0
90,65,0.26
91,63,0
77,47,0
68,49,0
66,54,0
79,60,0
78,63,0.42
81,66,0.87
78,65,0.16
71,60,0.24
66,58,0
66,57,0
77,59,0
71,54,0
53,49,2.47
63,52,0.46
71,45,0
73,52,0.04
63,48,0.04
58,34,0
55,39,0
60,34,0.15
49,35,0
60,44,0
66,48,0
59,47,0
60,40,0
67,46,0
75,54,0
68,44,0
62,42,0
62,46,0.83
74,52,0.04
68,45,0.07
71,42,0
50,36,0
67,39,0
49,29,0
48,24,0
35,19,0
30,21,0.04
37,23,0.01
44,29,0.6
61,34,0
49,27,0
42,30,0.03
70,49,0.03
60,43,0
56,29,0
45,19,0
40,25,0.08
61,40,0.07
55,34,0
54,34,0
60,30,0
49,33,0.22
48,38,1.07
60,37,0.03
51,29,0
47,37,0.31
50,37,0
44,32,0.12
43,30,0.04
40,32,0.48
39,27,0.01
40,21,0
35,23,0
39,26,0
43,31,0.09
43,34,0
42,23,0.04
48,30,0
61,44,0
53,32,0
39,23,0
36,30,0
39,16,0
28,17,0
25,15,0
38,28,0
42,23,0
44,27,0
42,18,0
37,12,0
14,-6,0
14,0,0
26,5,0
35,22,0.16
24,14,0
36,15,0
15,-12,0
1,-11,0
30,7,0.01
27,9,0.38
20,-3,0
30,13,0.03
32,11,0
30,11,0
24,10,0
32,20,0
46,31,0
38,27,0
34,27,0.05
30,25,0
33,30,0.06
37,19,0.17
20,-2,0
18,2,0.03
12,0,0.01
26,0,0.06
25,-1,0.35
6,-9,0
24,-2,0.01
32,17,0.01
28,15,0.1
20,9,0.11
16,-1,0
36,17,0
17,1,0
32,5,0
36,22,0
38,24,0.01
30,24,0
37,31,0
36,13,0
24,13,0
34,21,0.42
42,34,0.4
35,25,0.62
29,23,0
33,27,0
33,30,0
37,32,0
39,22,0
42,25,0
44,19,0
29,11,0
15,-2,0
26,2,0
27,17,0
17,-1,0
18,9,0.04
19,9,0.12
9,-5,0
34,-1,0.16
41,31,0
42,22,0
32,17,0
37,22,0
39,24,0
38,20,0
27,12,0
32,19,0.07
34,31,0.39
33,28,0.08
28,22,0
32,26,0.66
